text,label
"Arrived broken. Manufacturer defect. Two of the legs of the base were not completely formed, so there was no way to insert the casters. I unpackaged the entire chair and hardware before noticing this. So, I'll spend twice the amount of time boxing up the whole useless thing and send it back with a 1-star review of part of a chair I never got to sit in. I will go so far as to include a picture of what their injection molding and quality assurance process missed though. I will be hesitant to buy again. It makes me wonder if there aren't missing structures and supports that don't impede the assembly process.",0
the cabinet dot were all detached from backing... got me,0
I received my first order of this product and it was broke so I ordered it again. The second one was broke in more places than the first. I can't blame the shipping process as it's shrink wrapped and boxed.,0
"This product is a piece of shit. Do not buy. Doesn't work, and then I try to call for customer support, it won't take my number. Fucking rip off!",0
went through 3 in one day doesn't fit correct and couldn't get bubbles out (better without),0
"Poor quality. The material was fuzzy from day one. It got discolored in less than a month, even though we kept it outdoors under a covered porch. I returned this item.",0
"Ordered 2 they shipped 1 promised by certain day, then the next day, then the next day.",0
"Followed directions, did not work as advertised.",0
There is a terribly done band across the top. Supposed to keep the shirt on your shoulders but seems more of like a waistband.,0
"Unless you have this jam-packed full of items, the unit collapses on itself. I never held it's shape therefore, making it hard to reach my items when I needed them. The silver metal pieces on the handle fell off soon after it arrived. I must have missed the ""return by"" date as I now am stuck with it.",0
"I am disappointed in this purchase. I bought one of these in another color and in size XL and it fit great. This one I bought in white in XL and it fits like a Medium. I cannot wear this top and am really disappointed about that, It is advertised as XL but seriously this top would only fit someone who would be a size s/m. An XXL would have been a better choice for me because the sizing is incorrect on this product.",0
It doesn’t work after less than a month. The contacts on the connection are cheap. Don’t waste your money.,0
was not pleased and Bluetooth malfunctioned after a couple of weeks,0
"Followed instructions, and never caught a mosquito.",0
"Absolutely horrible. Fingerprints, face prints, smudgy and impossible to use in sunlight! Literally cannot see screen. Want my money back, and going to go find the one i used before!",0
Does not play with with the two cases i bought. I'd request a refund but mines already cracked from the cases.,0
Doesn’t work and tried contacting via email based off of the card that came with the item. Email does not work.,0
Beautiful way. Does not stay paired with or connected to my daughter’s iPhone. Essentially useless other that to tell time.,0
Stems were broken due to poor packing. Shapes are way different from the pictures. Blemishes in the skin.,0
"Buy one size smaller, they r BIG",0
"I had problem with the 2 screen protectors, any of them paste well on the screen. Very disappointing because I also bought the complete screen protection and I hope not happening the same thing...",0
The product was faulty and seller offered refund and asked that I take down my previous bad review. It's been 2 weeks and I still haven't seen a refund. The diffuser worked fine for about a month (long enough to be out of the return policy) then stopped. Not worth the $40,0
Do not bother buying these toys. Didn’t even last 1 day.,0
I never got my item even though it said delivered.,0
I used to have a much used & well loved OXO cookie scoop that was lost in our last move. I bought another in October and took it out today to use for my Christmas baking. It fell apart like other reviewers have complained on the third cookie. I'm very disappointed with the quality of the new product.,0
May update IF I ever receive this item! After 2 weeks...Received a notice saying the usps claimed it was undeliverable to this address... not like I haven’t received a thousand items here from Amazon and mail in general. Usps said they can’t even look into it since NO tracking number was provided. Not pleased.,0
Totally uncomfortable,0
"Wrong size for my husband. I need to return them, unfortunately.",0
They start off working well but eventually the microphone stops working and the ear pieces electrocute you no matter the volume your phone is on.,0
Not 3 pieces just one sheet,0
Tom Clancy has company as the most uselessly over descriptive writer. Also I suspect the author is a virgin. Absolutely terrible.,0
I ordered this book on February 11. It never arrived.,0
We order two different types of jewelry from this company the other jewelry we order is perfect. However with this jewelry I have a few things I don't like. The little Stone comes out of these and customers are complaining and bringing them back and we are having to put new jewelry in their holes. You cannot sterilize these in an autoclave as well because it heats up too much and the glue does not hold up so the second group of these that we used I did not sterilize them that way and the stones still came out. When I use a dermal clamp to put the top on the stones come out immediately. DO not waste your money on this particular product buy the three mm. that has the claws that hold the jewelry in those are perfect. So now I'm stuck with jewelry that I can't sell not good for business.,0
The barbell pad is fine but the ankle strap is terrible. It does not hold well at all. I guess I’ll havw to return everything.,0
This product caused severe burning of my skin. I have used other brands with no problems,0
Only worked for about a month and now dead?,0
Absolutely cannot get lotion out of bottle... despite storing it upside down! I will have to throw out.f,0
"It typically works for a few turns and then nothing comes out after that. I would shake it to try to get peppercorns to feed but that never really helped much. Only emptying it, clearing the neck and reloading it would get it working again for a few more turns. Seems like the neck is too narrow and gets clogged inside. I finally tossed it out because even the disposable McCormick pepper grinder works consistently without all the fuss.",0
this was a birthday present when she opened the box the glass was broke and the light bulb was hanging it is really cute but don't bother really not worth the hassel,0
"Was not a kit, was only a small individual box of lipstick.",0
The wicker baskets all unravel. Cheaply made. I reached out for replacements and heard nothing back. Going to send the whole thing back.,0
"My best friend got this mattress before summer started and I've slept on it many times and I get the best sleep at her house. I asked for the mattress as a birthday present, I opened it on the 9th and as I was unrolling it i was starting to smell something musty but i thought it could be because it just traveled in a box for a few days. It's now the 12th and my ENTIRE BOTTOM FLOOR WREAKS OF SOME NASTY MUSTY SMELL. It smells like the bed is rotting. OH and the mattress I ordered is classified as a 6inch mattress but its measuring between 4 and 4 1/2 inches... 3 days later. Today is the first day I have done anything other than touch with my fingers or sniff. The bed feels very firm and if you sniff it you will want to gag. I've already filed through amazon that I'd like a replacement. I'm just puzzled how the mattresses could be so different. We both slept on her brand new, 6 inch, Zinus mattress less than 24 hours after she opened it but mine is like I picked it up off the side of the road. When I get the new mattress I'll edit my review accordingly.",0
This does not work for an iPhone 8.,0
If you are never going to wash your window or get dust on it maybe it won't scratch instantly... Little twigs hit it and it scratches.... Haven't been able to see out of it since the second ride I went on... JUNK,0
Terrible. Doesn’t even charge waste of my money.,0
This case initially looked great. It was clear and sturdy. Fast forward a few months and it has taken on an ugly brown discoloration. It isn't just that it's dirty. Its as though the thermoplastic has spoiled and reacted to the air. I'd return it if it was still within the return window but unfortunately I don't still have that option. Very disappointed.,0
My mom loves the mild compression of the knee high but says the top is too loose and falls down. She cannot wear them. I was after a looser top because the others cut into her leg and stop circulation. Any suggestions?,0
