review_id,rating,validation_pass,iterations_used,dynamic_features_added,review_preview,overall_satisfaction,product_quality,battery_life,ease_of_use,fit,sound_quality,noise_cancellation_adjustability,charging_frequency,video_chat_performance,improved_fit,noise_cancellation,accessory_compatibility,hardware_malfunction,entertainment_value,usage_duration,physical_discomfort,microphone_quality,troubleshooting_experience,product_comparison,call_quality,audio_recording_quality,compatibility,voice_assistant_integration,cleanliness_condition,noise_isolation,durability_issues,accessory_quality,price_value,retailer_availability,connectivity,sound_comparison,portability,use_case,customer_satisfaction,product_performance,user_happiness,controls,customizability,design_changes,upgrade_experience,intended_audience,purchase_quantity,design_style,noise_cancelling,return_process,replacement_experience,initial_defect,purchase_confidence,sound_upgrade_quality,battery_life_comparison,noise_cancelling_effectiveness,gaming_suitability,magnetic_attachment,charging_method_preference,noise_performance,authenticity_comparison,price_affordability,logistics_speed,design_similarity,stability,product_authenticity,product_size,purchase_channel,lifestyle_compatibility,refund_request,ambient_mode,app_compatibility,functionality_quality,comfort,bass_response,sound_balance,usage_scenario,return_experience,situational_awareness,noise_cancelling_performance,ambient_mode_performance,connectivity_stability,noise_cancellation_performance,value_for_money,charging_speed,accessory_redundancy,transparency_mode,automatic_power_management,price,promotion,upgrade_motivation,feature_expectation,size_design,case_design,connectivity_compatibility,controls_usability,charging_options,size,discreetness,safety_awareness
0,4.0,1,1,,These are so amazing I will proble buy another pair.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5.0,1,2,noise_cancellation_adjustability|charging_frequency|video_chat_performance|improved_fit,"The sound quality is amazing. I love the noise cancellation, and I also like tha",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5.0,1,1,,Good and works really well and stays in the ears well,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,1,2,noise_cancellation|accessory_compatibility,I love the sound quality. The bass comes across very clear as if you’re in a roo,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.0,1,1,,These Airpods were clearly used. I didn't pay for refurbished Airpods and even i,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,1,1,,Great just hard to keep in my ear sometimes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.0,1,2,entertainment_value|usage_duration,My sister was staying with me for 6 hours. I got these to keep her entertained w,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.0,1,1,,Perfect earbuds for granddaughter and her work!,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5.0,1,1,,i was against these forever. My daughter got them and used them sparingly. My wi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5.0,1,1,,My granddaughter loves this,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
